location,number
APARTMENT,866
ALLEY,3
DEPARTMENT STORE,9
GAS STATION,3
HOTEL/MOTEL,1
PARKING,4
RESIDENCE,962
STREET,13
VACANT LOT,15
PUBLIC BULIDING,8
