location,number
APARTMENT,79
ALLEY,102
DEPARTMENT STORE,1
GAS STATION,26
HOTEL/MOTEL,3
PARKING,37
RESIDENCE,125
STREET, 550
VACANT LOT,11
PUBLIC BULIDING,13
