location,number
APARTMENT,1053
ALLEY,79
DEPARTMENT STORE,929
GAS STATION,247
HOTEL/MOTEL,160
PARKING,689
RESIDENCE,1164
STREET,3634 
VACANT LOT,17
PUBLIC BULIDING,134
